,participant,block,net_trial,net_size,net_contents,offer_1,offer_2,offer_3,choice,switch_trial,prop_filled,raw_distance,trials_invested,net_item_idx,best_alt_idx,worst_alt_idx,goal_offer,best_alt_offer,worst_alt_offer,in_scanner,decisionRT,myopic_values_1,myopic_values_2,myopic_values_3,tree_search_item1,tree_search_item2,tree_search_item3
88,0,13,11,50,23.2139682375646,2.62550944369996,-0.0750652447872436,-2.77591722740993,1,0,0.464279364751292,26.7860317624354,6,1.0,2.0,3.0,2.62550944369996,-0.0750652447872436,-2.77591722740993,1.0,,25.8394776812646,-0.0750652447872436,-2.77591722740993,-10.86095,-17.0586,-17.30825
89,0,13,12,50,25.8394776812646,13.4645505105644,-0.971560906717353,-3.62247522798881,1,0,0.516789553625291,24.1605223187354,7,1.0,2.0,3.0,13.4645505105644,-0.971560906717353,-3.62247522798881,1.0,,39.304028191829,-0.971560906717353,-3.62247522798881,-2.94745,-16.991,-17.281
90,0,13,13,50,39.304028191829,13.7548860210944,-1.34107462199114,-3.84056172915259,1,0,0.78608056383658,10.695971808171,8,1.0,2.0,3.0,13.7548860210944,-1.34107462199114,-3.84056172915259,1.0,,53.0589142129234,-1.34107462199114,-3.84056172915259,-1.0,-17.3152,-17.2657
91,0,14,1,12,0.0,5.33641804827561,4.22648417744669,6.73926578073239,1,0,0.0,12.0,0,,,,,,,1.0,,5.33641804827561,4.22648417744669,6.73926578073239,-3.80745,-4.3407,-2.7132
92,0,14,2,12,5.33641804827561,4.66874651199643,3.89713986102146,-1.49469804968443,1,0,0.444701504022968,6.66358195172439,1,1.0,2.0,3.0,4.66874651199643,3.89713986102146,-1.49469804968443,1.0,,10.005164560272,3.89713986102146,-1.49469804968443,-2.50485,-4.73865,-10.19655
93,0,14,3,12,10.005164560272,4.53544611448423,3.13131620166888,-2.21899153483092,1,0,0.833763713356003,1.99483543972796,2,1.0,2.0,3.0,4.53544611448423,3.13131620166888,-2.21899153483092,1.0,,14.5406106747563,3.13131620166888,-2.21899153483092,-1.0,-5.62595,-10.3716
102,0,16,1,43,0.0,4.97392426378374,6.2286659875174,6.94588103271434,2,0,0.0,43.0,0,,,,,,,1.0,,4.97392426378374,6.2286659875174,6.94588103271434,-11.46005,-10.30035,-9.7129
103,0,16,2,43,6.2286659875174,4.72050513692158,0.655763476280132,8.31656516104457,3,1,0.144852697384126,36.7713340124826,1,2.0,3.0,1.0,0.655763476280132,8.31656516104457,4.72050513692158,1.0,,4.72050513692158,6.88442946379753,8.31656516104457,-11.81,-14.5822,-8.663
104,0,16,3,43,8.31656516104457,3.42383302817381,1.04801112415865,8.45806067650791,3,0,0.193408492117316,34.6834348389554,1,3.0,1.0,2.0,8.45806067650791,3.42383302817381,1.04801112415865,1.0,,3.42383302817381,1.04801112415865,16.7746258375525,-13.0886,-15.07265,-7.03465
105,0,16,4,43,16.7746258375525,1.8839313632872,14.6899364959769,9.09335955856294,3,0,0.3901075776175,26.2253741624475,2,3.0,2.0,1.0,9.09335955856294,14.6899364959769,1.8839313632872,1.0,,1.8839313632872,14.6899364959769,25.8679853961154,-14.5282,-5.5281,-4.9379
